latitude,longitude,altitude,geometry,RMC,site,drive,sol,easting,northing,elev_geoid,lon,lat,roll,pitch,yaw,yaw_rad,tilt,dist_m,dist_total_m,dist_km,dist_mi,drive_type
-4.590063,137.448297,-4517.854,Point,4_3416,4,3416,55,8147206.207,-272074.578,-4517.854,137.4482966,-4.5900627,5.37,-1.33,0.19,0.00339,5.53,23.48,476.78,0.48,0.3,final
-4.590017,137.448351,-4517.896,Point,4_3474,4,3474,56,8147209.424,-272071.85,-4517.896,137.4483509,-4.59001667,-0.53,1.36,-77.48,-1.35231,1.46,5.93,482.71,0.48,0.3,final
-4.59002,137.448339,-4517.896,Point,5_0,5,0,57,8147208.732,-272072.021,-4517.896,137.4483392,-4.59001956,-0.59,1.25,-77.23,-1.34792,1.38,1.78,484.5,0.48,0.3,final
-4.589996,137.448342,-4517.843,Point,5_104,5,104,59,8147208.885,-272070.605,-4517.843,137.4483418,-4.58999567,-4.61,1.28,-83.32,-1.45427,4.79,5.53,490.02,0.49,0.3,final
-4.590022,137.44831,-4517.901,Point,5_178,5,178,100,8147207.014,-272072.137,-4517.901,137.4483102,-4.59002152,-3.14,5.12,-87.68,-1.53025,6,1.87,491.9,0.49,0.31,final
-4.589947,137.448695,-4518.25,Point,5_388,5,388,102,8147229.826,-272067.734,-4518.25,137.4486951,-4.58994723,8.23,3.97,87.84,1.53312,9.13,25.3,517.2,0.52,0.32,final
-4.589921,137.448676,-4518.235,Point,5_432,5,432,111,8147228.682,-272066.205,-4518.235,137.4486758,-4.58992144,4.87,5.69,56.2,0.98089,7.48,1.89,519.09,0.52,0.32,final
-4.590443,137.44883,-4518.274,Point,5_742,5,742,120,8147237.818,-272097.092,-4518.274,137.4488299,-4.59044252,0.69,-3.86,45.57,0.79535,3.92,34.58,553.67,0.55,0.34,final
-4.590281,137.449108,-4518.656,Point,5_926,5,926,121,8147254.275,-272087.537,-4518.656,137.4491076,-4.59028132,1.96,1.46,23.89,0.41698,2.45,24.21,577.87,0.58,0.36,final
-4.590275,137.449121,-4518.679,Point,5_938,5,938,122,8147255.088,-272087.141,-4518.679,137.4491213,-4.59027464,3.41,-2.65,65.28,1.13937,4.32,1,578.87,0.58,0.36,final
-4.590054,137.449349,-4519.828,Point,5_1070,5,1070,123,8147268.602,-272074.068,-4519.828,137.4493493,-4.59005409,-3.05,-5.92,36.9,0.64399,6.66,19.38,598.26,0.6,0.37,final
-4.589865,137.449277,-4519.966,Point,5_1216,5,1216,124,8147264.332,-272062.875,-4519.966,137.4492772,-4.58986526,-1.37,-6.43,32.93,0.57468,6.57,14.05,612.3,0.61,0.38,final
-4.589637,137.449331,-4520.886,Point,5_1398,5,1398,125,8147267.496,-272049.328,-4520.886,137.4493306,-4.58963671,1.43,3.08,-90.19,-1.57412,3.39,26.1,638.41,0.64,0.4,final
-4.58923,137.449383,-4521.311,Point,5_1576,5,1576,127,8147270.625,-272025.238,-4521.311,137.4493834,-4.5892303,3.48,-2.94,45.43,0.79297,4.56,32.81,671.22,0.67,0.42,final
-4.589137,137.449388,-4520.974,Point,5_1662,5,1662,130,8147270.896,-272019.701,-4520.974,137.449388,-4.58913689,1.06,6.92,-35.94,-0.62734,7,5.57,676.79,0.68,0.42,final
-4.589463,137.449258,-4520.969,Point,5_1858,5,1858,133,8147263.219,-272039.023,-4520.969,137.4492584,-4.58946286,-2.57,3.85,-145.35,-2.53678,4.63,21.74,698.54,0.7,0.43,final
-4.589505,137.449235,-4520.87,Point,5_1902,5,1902,147,8147261.842,-272041.547,-4520.87,137.4492352,-4.58950544,-2.44,2.9,-157.84,-2.75476,3.79,2.99,701.52,0.7,0.44,final
-4.589516,137.449231,-4520.818,Point,5_1916,5,1916,151,8147261.574,-272042.164,-4520.818,137.4492307,-4.58951585,-3.67,6.29,-155.68,-2.71712,7.28,0.7,702.22,0.7,0.44,final
-4.589552,137.449223,-4520.486,Point,5_1954,5,1954,152,8147261.102,-272044.287,-4520.486,137.4492227,-4.58955167,-6.33,7.48,-159.29,-2.78017,9.78,2.35,704.57,0.7,0.44,final
-4.589535,137.449238,-4520.734,Point,5_1986,5,1986,159,8147262.021,-272043.27,-4520.734,137.4492382,-4.58953451,-2.84,7.49,-136.24,-2.37792,8,1.37,705.95,0.71,0.44,final
-4.589451,137.449141,-4520.5,Point,5_2182,5,2182,162,8147256.238,-272038.307,-4520.5,137.4491407,-4.58945078,-0.59,5.28,-139.62,-2.43683,5.31,8.97,714.92,0.71,0.44,final
-4.589476,137.449121,-4520.369,Point,5_2200,5,2200,163,8147255.055,-272039.803,-4520.369,137.4491207,-4.58947602,-1.75,6.26,-138.27,-2.41318,6.5,1.9,716.82,0.72,0.45,final
-4.589467,137.449136,-4520.492,Point,5_2270,5,2270,164,8147255.971,-272039.268,-4520.492,137.4491362,-4.589467,-1.01,5.6,-159.21,-2.77877,5.69,3.24,720.06,0.72,0.45,final
-4.589485,137.44913,-4520.456,Point,6_0,6,0,166,8147255.58,-272040.328,-4520.456,137.4491296,-4.58948488,-4.17,3.14,165.72,2.89231,5.22,3.35,723.41,0.72,0.45,final
-4.589467,137.449117,-4520.369,Point,6_68,6,68,272,8147254.805,-272039.268,-4520.369,137.4491165,-4.589467,-4.08,2.38,-161.32,-2.8155,4.73,3.08,726.49,0.73,0.45,final
-4.589479,137.449113,-4520.369,Point,6_82,6,82,274,8147254.57,-272039.959,-4520.369,137.4491125,-4.58947865,-3.95,2.59,-159.94,-2.79142,4.73,0.68,727.16,0.73,0.45,final
-4.589501,137.449112,-4520.256,Point,6_116,6,116,295,8147254.543,-272041.311,-4520.256,137.4491121,-4.58950146,-0.64,-4.24,40.93,0.71434,4.29,6.29,733.46,0.73,0.46,final
-4.589571,137.449275,-4520.73,Point,6_224,6,224,297,8147264.209,-272045.43,-4520.73,137.4492751,-4.58957095,-2.23,4.32,-126.36,-2.20536,4.86,19.81,753.27,0.75,0.47,final
-4.589661,137.449169,-4519.885,Point,6_308,6,308,299,8147257.885,-272050.756,-4519.885,137.4491685,-4.58966081,-4.85,2.99,-127.64,-2.22773,5.7,8.43,761.7,0.76,0.47,final
-4.589745,137.448996,-4519.321,Point,6_410,6,410,301,8147247.65,-272055.744,-4519.321,137.4489958,-4.58974496,-1.16,2.43,-115.62,-2.01787,2.7,12.02,773.72,0.77,0.48,final
-4.589778,137.448964,-4518.973,Point,6_450,6,450,302,8147245.742,-272057.727,-4518.973,137.4489636,-4.58977841,-2.96,8.6,-144.86,-2.52822,9.09,2.74,776.46,0.78,0.48,final
